Rscript.exe : Warning message:
At line:1 char:302
+ ... tch {} } }; & "C:\Users\amarar\AppData\Local\Programs\R\R-4.5.1\bin\x ...
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning message::String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
package 'data.table' was built under R version 4.5.3 
[A R0 | grad_ontime] gate 1: per-year SEs, IF pipeline vs package, max rel gap 2.87e-02 
[A R0 | grad_ontime] era_old: +0.0037 (boot SE 0.0206) 
[A R0 | grad_ontime] era_new: -0.0232 (boot SE 0.0090) 
[A R0 | applied] gate 1: per-year SEs, IF pipeline vs package, max rel gap 2.12e-02 
[A R0 | applied] era_old: -0.0117 (boot SE 0.0346) 
[A R0 | applied] era_new: -0.0208 (boot SE 0.0150) 
[A R0 | assigned] gate 1: per-year SEs, IF pipeline vs package, max rel gap 2.75e-02 
[A R0 | assigned] era_old: -0.0197 (boot SE 0.0330) 
[A R0 | assigned] era_new: -0.0318 (boot SE 0.0107) 
[A R0 | enrolled] gate 1: per-year SEs, IF pipeline vs package, max rel gap 3.77e-02 
[A R0 | enrolled] era_old: -0.0298 (boot SE 0.0267) 
[A R0 | enrolled] era_new: -0.0211 (boot SE 0.0083) 
There were 20 warnings (use warnings() to see them)
done | 0.2 min 
